Overall Satisfaction,Attribute 00,Attribute 01,Attribute 02,Attribute 03,Attribute 04,Attribute 05,Attribute 06,Attribute 07,Attribute 08,Attribute 09,Attribute 10,Attribute 11,Attribute 12,Attribute 13,Attribute 14,Attribute 15,Attribute 16,Attribute 17,Attribute 18,Attribute 19,Weight
7,7,8,7,10,9,8,9,9,8,8,8,8,8,8,8,8,6,8,8,6,0.891623502
6,5,6,7,10,8,8,8,8,8,8,8,8,9,8,8,7,7,7,8,8,0.258945108
7,8,8,8,8,8,8,8,8,7,8,9,7,8,8,8,8,3,7,5,5,0.367218625
8,8,8,8,10,,,,,,,,,,,,,,,,,0.280864578
8,8,8,8,8,8,,9,9,9,10,9,9,9,9,9,9,8,8,8,8,0.481510872
9,9,9,8,10,9,10,10,10,7,9,8,10,9,10,10,10,7,8,9,7,0.768580552
9,10,10,9,10,9,10,10,9,10,10,10,10,9,9,10,10,9,10,9,8,0.514194574
8,8,8,7,10,10,10,10,10,10,10,10,10,10,7,7,9,7,9,10,7,0.421803753
8,7,7,9,9,7,9,9,9,9,8,9,8,8,10,9,9,8,7,7,7,0.270761916
5,5,8,7,4,8,9,8,8,4,8,8,3,9,8,2,8,8,8,7,8,0.087498518
8,8,8,6,10,8,9,9,9,7,8,6,8,8,5,8,8,6,8,8,7,0.725497208
8,7,7,7,10,7,7,9,9,8,7,7,7,7,9,8,8,5,6,7,5,0.619066453
9,8,8,8,10,9,9,9,9,9,9,9,9,9,9,9,9,7,8,9,7,0.612956771
10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,9,10,9,10,10,9,0.789845748
6,6,7,8,10,8,8,8,5,6,7,7,8,8,8,5,9,5,7,7,5,0.406245123
8,8,8,8,9,8,8,7,8,8,8,8,7,7,7,8,8,7,7,,7,0.247189084
8,8,8,7,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.854856219
8,8,7,7,8,10,8,8,6,6,6,,8,8,8,7,5,5,8,8,5,0.345923507
10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,0.109735509
9,9,9,9,10,9,9,10,10,8,9,9,9,10,9,9,9,8,9,9,8,0.722474125
7,7,8,5,9,8,8,9,9,5,6,6,5,8,5,8,7,5,8,9,6,0.092824898
8,7,7,5,8,8,8,8,8,7,7,7,5,6,7,7,8,7,8,8,6,0.885870455
7,7,10,7,10,8,9,9,9,6,7,8,7,7,5,9,9,7,8,9,7,0.908584549
7,8,8,7,10,,,,,,,,,,,,,,,,,0.809466123
8,8,7,9,10,8,6,9,9,9,8,8,8,7,8,7,9,6,7,8,6,0.13622877
6,5,6,9,8,7,7,7,7,5,6,7,6,6,7,7,7,5,7,6,5,0.856918768
8,8,8,8,8,10,6,9,8,5,9,9,8,8,9,8,9,7,9,10,7,0.401131689
9,9,9,9,10,9,10,10,10,9,9,9,9,10,9,9,9,4,10,9,8,0.245724535
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.771624289
8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,6,8,7,8,8,5,0.611360635
6,7,8,6,8,8,7,8,8,6,8,7,6,8,8,8,8,8,8,8,8,0.207548665
8,7,,6,8,5,7,8,6,5,5,5,4,7,7,6,8,5,6,5,5,0.040887038
6,7,8,7,9,,,,,,,,,,,,,,,,,0.015798038
8,8,8,8,9,8,8,8,8,8,8,8,6,8,8,7,8,3,8,8,5,0.851640078
9,10,10,8,10,10,10,10,10,10,10,10,6,8,9,9,10,8,8,10,9,0.671601868
9,9,9,9,10,9,9,8,8,8,8,9,10,10,10,10,10,9,9,9,8,0.043223671
6,6,8,5,9,7,8,8,8,5,6,6,6,7,5,6,6,6,7,7,7,0.327767112
8,7,7,6,9,7,8,8,7,8,8,8,7,7,6,6,8,7,8,8,6,0.531057536
9,9,9,9,10,8,9,10,9,8,8,9,8,8,9,8,9,8,9,8,7,0.576740063
8,8,8,9,10,8,8,8,6,8,8,8,8,8,8,8,8,3,8,8,5,0.58935573
9,9,9,8,9,8,8,8,8,7,7,8,8,8,8,8,8,7,8,9,7,0.520712284
9,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,8,9,9,8,0.573632016
8,8,8,8,9,8,8,8,8,8,8,8,8,8,5,6,8,6,8,7,6,0.806303176
8,7,8,7,10,9,9,10,10,8,9,8,6,8,9,7,10,7,9,10,8,0.297731912
8,8,8,8,8,8,8,8,8,8,8,,8,8,8,8,8,8,8,8,8,0.65366889
6,6,6,7,10,8,8,8,9,7,8,8,7,9,8,8,8,5,6,7,6,0.165019969
8,8,8,8,10,7,7,8,7,7,8,8,6,7,6,6,8,4,8,8,5,0.479145422
9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,10,9,9,9,9,0.298116287
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.553433118
6,5,6,4,6,6,5,5,5,5,5,5,5,6,6,6,6,2,6,6,2,0.682633091
10,10,10,10,10,10,10,9,10,7,10,8,9,10,9,10,10,8,10,10,8,0.139292801
9,9,9,9,10,9,9,10,9,9,9,9,9,9,9,9,9,8,9,9,8,0.257846531
6,6,6,6,10,7,10,10,7,7,7,7,6,6,6,6,6,5,7,7,5,0.282975939
7,7,6,9,9,,,,,,,,,,,,,,,,,0.996526185
8,7,7,8,4,8,8,8,9,8,8,8,7,5,9,9,9,7,8,8,7,0.586803412
6,6,6,5,6,5,6,6,6,5,5,5,5,5,5,5,6,5,6,5,5,0.660565267
6,10,8,8,10,8,10,10,10,10,8,9,4,8,6,7,8,2,8,8,4,0.609073177
9,9,9,8,9,8,9,9,9,7,8,9,8,9,9,7,9,6,9,9,7,0.462164159
9,9,,8,10,7,8,8,7,6,7,7,8,8,7,8,8,7,7,7,7,0.729105408
8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.516863352
6,7,6,7,9,7,7,8,8,7,7,8,7,8,7,6,8,1,6,8,2,0.499654923
8,8,8,8,10,8,8,8,,8,6,8,8,7,8,8,8,6,8,8,7,0.64784158
9,9,9,9,10,9,9,9,9,8,8,9,8,9,9,8,9,7,9,9,8,0.314830144
9,9,9,8,10,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,7,0.886180492
7,7,7,6,8,7,7,7,7,7,7,7,5,7,6,6,7,7,7,7,7,0.512014467
8,8,9,9,10,9,8,8,8,8,8,8,8,8,8,8,8,7,9,8,9,0.74550165
8,8,8,6,10,8,8,7,7,7,7,7,8,8,8,9,9,5,8,8,6,0.784838717
9,8,8,8,9,8,7,9,8,4,8,7,7,8,8,6,8,8,8,8,8,0.190510438
9,9,9,8,10,8,8,9,9,8,8,9,8,9,9,8,8,8,9,9,8,0.018535657
9,9,9,9,10,10,10,10,10,9,9,9,10,10,9,9,10,9,9,9,9,0.659124098
9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,8,9,7,9,9,8,0.257524149
9,9,10,9,10,9,10,10,10,9,9,9,9,9,10,10,10,9,10,10,10,0.176239059
9,9,9,9,10,10,10,10,9,8,9,9,8,9,9,9,9,10,9,9,10,0.32020816
10,10,10,10,10,,,,,,,,,,,,,,,,,0.483319892
7,7,7,7,9,7,8,8,8,6,6,7,8,7,8,7,8,4,6,6,3,0.92213814
8,7,7,6,9,7,8,8,8,6,7,7,6,8,8,6,8,5,7,7,5,0.757221291
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,7,0.349441286
7,8,6,6,8,7,8,9,10,8,8,6,7,9,8,10,9,7,8,7,7,0.862358016
8,8,9,9,9,8,8,9,8,8,9,8,8,8,5,8,8,7,8,8,7,0.622447978
7,8,7,7,8,8,7,8,8,7,7,6,6,7,6,4,7,5,7,7,5,0.691861639
8,8,8,8,10,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,0.633142814
9,9,9,9,9,,,,,,,,,,,,,,,,,0.364456444
9,8,8,8,10,9,9,10,10,10,9,8,8,9,9,10,9,10,9,10,9,0.255270447
10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.359082867
7,7,7,4,9,,,,,,,,,,,,,,,,,0.152679592
9,9,9,7,10,8,10,9,7,7,8,7,5,7,8,7,6,9,8,7,9,0.716872116
8,8,8,9,9,,,,,,,,,,,,,,,,,0.688177278
9,8,9,8,10,8,9,9,9,7,9,8,9,9,9,9,9,9,8,9,8,0.514147591
